"","x"
"1","greeny"
"2","flat"
"3",""
"4","andy"
"5","lemann"
"6",""
"7","mittagong"
"8",""
"9","energy"
"10",""
"11","building"
"12",""
"13","efficiency"
"14",""
"15","housing"
"16",""
"17","southern"
"18","highlands"
"19",""
"20","abc"
"21","illawarra"
"22",""
"23","justin"
"24","huntsdale"
"25","venessa"
"26","harris"
"27",""
"28","karen"
"29","monaghan"
"30",""
"31","modelling"
"32",""
"33","model"
"34",""
"35","aboriginal"
"36",""
"37","indigenous"
"38",""
"39","tamblyn"
"40","models"
"41",""
"42","way"
"43","out"
"44","west"
"45","fashion"
"46","quest"
"47",""
"48","native"
"49","title"
"50",""
"51","Wangkangurru-Yarluyandi"
"52",""
"53","ash"
"54","moore"
"55",""
"56","blythe"
"57","moore"
"58",""
"59","abc"
"60","western"
"61","queensland"
"62",""
"63","birdsville"
"64",""
"65","windorah"
"66",""
"67","brisbane"
"68","broome"
"69","seagrass"
"70","marine"
"71","biology"
"72","roebuck"
"73","bay"
"74","science"
"75","environment"
"76","water"
"77","quality"
"78","conservation"
"79","wildlife"
"80","seaweed"
"81","Kimberley:"
"82","Breakfast"
"83","Yeppen"
"84","South"
"85","Project"
"86",""
"87","Yeppen"
"88",""
"89","Rockhampton"
"90",""
"91","floods"
"92",""
"93","Department"
"94","of"
"95","Transport"
"96","and"
"97","Main"
"98","Roads"
"99",""
"100","construction"
"101","ourstories"
"102","Bombala"
"103","Line"
"104","Nimmitabel"
"105","Railway"
"106","Station"
"107","railway"
"108","Cooma"
"109","sheep"
"110","transport"
"111","locomotive"
"112","Bolognese"
"113",""
"114","cooking"
"115","traditional"
"116","Italian"
"117","method"
"118","recipe"
"119","spaghetti"
"120","tagliatelle"
"121","pork"
"122","Pancetta"
"123","Guanciale"
"124","Steve"
"125","Jackson"
"126","chef"
"127","Geoffrey"
"128","Guiffre"
"129","UNTOLD"
"130",""
"131","cabbage"
"132","tree"
"133","island"
"134",""
"135","abc"
"136","north"
"137","coast"
"138",""
"139","margaret"
"140","burin"
"141",""
"142","justine"
"143","frazier"
"144",""
"145","jeff"
"146","licence"
"147",""
"148","massacres"
"149",""
"150","aboriginal"
"151",""
"152","indigenous"
"153",""
"154","stories"
"155",""
"156","articles"
"157",""
"158","Year"
"159","in"
"160","Review"
"161","2014"
"162","ABC"
"163","Goldfields"
"164","Esperance"
"165","Kalgoorlie"
"166","Coolgardie"
"167","Norseman"
"168","Lake"
"169","Ballard"
"170","New"
"171","southwest"
"172",""
"173","year"
"174",""
"175","pictures"
"176",""
"177","gallery"
"178",""
"179","2014"
"180",""
"181","2014"
"182","kimberley"
"183","pictures"
"184","photo"
"185","photography"
"186","broome"
"187","Derby"
"188","Halls"
"189","Creek"
"190","Fitzroy"
"191","Crossing"
"192","Kununurra"
"193","news"
"194",""
"195","12"
"196","queenslanders"
"197","you"
"198","should"
"199","know"
"200",""
"201","brisbane"
"202",""
"203","toowoomba"
"204",""
"205","gold"
"206","coast"
"207",""
"208","sunshine"
"209","coast"
"210",""
"211","bundaberg"
"212",""
"213","rockhampton"
"214",""
"215","mackay"
"216",""
"217","townsville"
"218",""
"219","cairns"
"220",""
"221","mount"
"222","isa"
"223",""
"224","longreach"
"225",""
"226","people"
"227",""
"228","noosa"
"229","fred"
"230","hughes"
"231",""
"232","sarah"
"233","hughes"
"234",""
"235","saul"
"236","goodwin"
"237",""
"238","lake"
"239","nash"
"240","station"
"241",""
"242","cattle"
"243",""
"244","photograph"
"245",""
"246","image"
"247",""
"248","photography"
"249",""
"250","picture"
"251",""
"252","drought"
"253",""
"254","aboriginal"
"255","community"
"256",""
"257","aboriginie"
"258",""
"259","Alpurrurulam"
"260",""
"261","indigenous"
"262",""
"263","Kennis"
"264","Campbell"
"265",""
"266","Georgie"
"267","Whatmore"
"268",""
"269","Ed"
"270","Ross"
"271",""
"272","Ian"
"273","Campbell"
"274",""
"275","Aaron"
"276","Land"
"277",""
"278","Harry"
"279","Buckley"
"280",""
"281","blythe"
"282","moore"
"283",""
"284","abc"
"285","north"
"286","west"
"287","queensland"
"288",""
"289","abc"
"290","western"
"291","queensland"
"292",""
"293","isa"
"294",""
"295","queensland"
"296",""
"297","northern"
"298","territory"
"299",""
"300","endometriosis"
"301",""
"302","anna"
"303","chaplin"
"304",""
"305","disease"
"306",""
"307","women"
"308",""
"309","health"
"310",""
"311","uterus"
"312",""
"313","pain"
"314",""
"315","medicine"
"316",""
"317","surgery"
"318",""
"319","abc"
"320","illawarra"
"321","drought"
"322",""
"323","rain"
"324",""
"325","creek"
"326",""
"327","dry"
"328",""
"329","surat"
"330",""
"331","queensland"
"332",""
"333","water"
"334",""
"335","Woodford"
"336","Folk"
"337","Festival"
"338",""
"339","Mary-Lou"
"340","Stephens"
"341",""
"342","ABC"
"343","broadcast"
"344",""
"345","New"
"346","year's"
"347","eve"
"348",""
"349","Rob"
"350","Blackmore"
"351",""
"352","Kylie"
"353","Auldist"
"354",""
"355","news"
"356",""
"357","beer"
"358",""
"359","bargara"
"360","brewing"
"361","company"
"362",""
"363","bundaberg"
"364",""
"365","tourism"
"366",""
"367","craft"
"368","beer"
"369","podcast"
"370",""
"371","the"
"372","big"
"373","fish"
"374",""
"375","Port"
"376","Lincoln"
"377",""
"378","Feltus"
"379","street"
"380",""
"381","Des"
"382",""
"383","Demond"
"384","and"
"385","Lorrain"
"386","Voumard"
"387",""
"388","Eyre"
"389","Peninsula"
"390",""
"391","Chrismtas"
"392","lights"
"393",""
"394","festiva"
"395",""
"396","display"
"397",""
"398","story"
"399",""
"400","collection"
"401",""
"402","santa"
"403","Darren"
"404","Middleton"
"405",""
"406","Bill"
"407","Hauritz"
"408",""
"409","Woodford"
"410","Folk"
"411","Festival"
"412","christmas"
"413",""
"414","seafood"
"415",""
"416","mackay"
"417",""
"418","fish"
"419","market"
"420",""
"421","prawns"
"422",""
"423","feast"
"424","holidays"
"425",""
"426","history"
"427",""
"428","south"
"429","east"
"430",""
"431","mount"
"432","gambier"
"433",""
"434","nelson"
"435",""
"436","camping"
"437",""
"438","christmas"
"439",""
"440","new"
"441","years"
"442",""
"443","fishing"
"444",""
"445","donovans"
"446",""
"447","les"
"448","hill"
"449","collection"
"450",""
"451","mount"
"452","gambier"
"453","library"
"454","news"
"455",""
"456","fiona"
"457","toplis"
"458",""
"459","bundaberg"
"460",""
"461","agnes"
"462","water"
"463",""
"464","mt"
"465","maria"
"466",""
"467","discovery"
"468","coast"
"469",""
"470","shetland"
"471","pony"
"472",""
"473","ponies"
"474",""
"475","little"
"476","horses"
"477",""
"478","queensland"
"479","Bethlehem"
"480",""
"481","Jerusalem"
"482",""
"483","Christmas"
"484",""
"485","Jesus"
"486",""
"487","Christ"
"488",""
"489","baby"
"490",""
"491","shepherds"
"492",""
"493","wise"
"494","men"
"495",""
"496","roman"
"497","guards"
"498",""
"499","religion"
"500",""
"501","christianity"
"502",""
"503","community"
"504",""
"505","children"
"506",""
"507","education"
"508","Darryl"
"509","Carrison"
"510",""
"511","Port"
"512","Lincoln"
"513",""
"514","foreshore"
"515",""
"516","racehorse"
"517",""
"518","racehorses"
"519",""
"520","history"
"521",""
"522","Boston"
"523","Bay"
"524",""
"525","swimming"
"526",""
"527","summer"
"528",""
"529","animals"
"530",""
"531","Eyre"
"532","Peninsula"
"533",""
"534","horse"
"535","racing"
"536","kurt"
"537","mann"
"538",""
"539","melbourne"
"540","storm"
"541",""
"542","nrl"
"543",""
"544","national"
"545","rugby"
"546","league"
"547",""
"548","2014"
"549",""
"550","jane"
"551","dickson"
"552",""
"553","joel"
"554","mann"
"555",""
"556","winton"
"557","devils"
"558",""
"559","christmas"
"560",""
"561","family"
"562",""
"563","blythe"
"564","moore"
"565",""
"566","abc"
"567","western"
"568","queensland"
"569","jenny"
"570","wyton"
"571",""
"572","ed"
"573","warren"
"574",""
"575","father"
"576","matthew"
"577","moloney"
"578",""
"579","mount"
"580","isa"
"581","care"
"582","packages"
"583",""
"584","longreach"
"585","rotary"
"586",""
"587","St"
"588","Brigid's"
"589","Catholic"
"590","Parish"
"591","in"
"592","Longreach"
"593",""
"594","longreach"
"595","freight"
"596",""
"597","care"
"598","packages"
"599",""
"600","christmas"
"601","ham"
"602",""
"603","donations"
"604",""
"605","drought"
"606",""
"607","drought"
"608","stricken"
"609","properties"
"610",""
"611","blythe"
"612","moore"
"613",""
"614","abc"
"615","western"
"616","queensland"
"617",""
"618","rural"
"619","report"
"620",""
"621","country"
"622","hour"
"623",""
"624","abc"
"625","south"
"626","east"
"627",""
"628","on"
"629","air"
"630",""
"631","1476"
"632",""
"633","1161"
"634",""
"635","radio"
"636",""
"637","online"
"638",""
"639","on"
"640","air"
"641",""
"642","stan"
"643","thomson"
"644",""
"645","stuart"
"646","stansfield"
"647",""
"648","rebekah"
"649","lowe"
"650",""
"651","mount"
"652","gambier"
"653",""
"654","south"
"655","east"
"656",""
"657","limestone"
"658","coast"
"659","aquatic"
"660","centre"
"661",""
"662","broken"
"663","hill"
"664",""
"665","pool"
"666",""
"667","summer"
"668",""
"669","jason"
"670","jones"
"671",""
"672","peter"
"673","black"
"674","victoria"
"675",""
"676","history"
"677",""
"678","2014"
"679",""
"680","history"
"681","of"
"682","victoria"
"683",""
"684","mildura"
"685",""
"686","landscape"
"687",""
"688","photo"
"689",""
"690","photography"
"691",""
"692","south"
"693","east"
"694",""
"695","mount"
"696","gambier"
"697",""
"698","naracoorte"
"699",""
"700","abc"
"701","south"
"702","east"
"703",""
"704","sa"
"705","limestone"
"706","coast"
"707",""
"708","tourism"
"709",""
"710","robe"
"711",""
"712","keith"
"713",""
"714","kingston"
"715",""
"716","apsley"
"717",""
"718","coonawarra"
"719",""
"720","penola"
"721","nature"
"722","backyard"
"723","north"
"724","Queensland"
"725","safari"
"726","animals"
"727","bugs"
"728","insects"
"729","birds"
"730","photography"
"731","competition"
"732","exhibition"
"733","hermit"
"734","christmas"
"735","kimberley"
"736","bush"
"737","lonely"
"738","barry"
"739","broome"
"740","1233"
"741","ABC"
"742","Newcastle"
"743",""
"744","ABC"
"745",""
"746","Newcastle"
"747",""
"748","New"
"749","South"
"750","Wales"
"751",""
"752","NSW"
"753",""
"754","Australia"
"755",""
"756","Hunter"
"757",""
"758","city"
"759",""
