"","Var1","Freq"
"1","",33681
"2","!",1
"3","	",1
"4","000",1
"5","0439",1
"6","1",17
"7","10",8
"8","100",13
"9","1000",2
"10","100th",4
"11","11",1
"12","1161",1
"13","12",15
"14","120",1
"15","1233",112
"16","125",1
"17","127",1
"18","13",4
"19","14",2
"20","1476",1
"21","15",1
"22","150",3
"23","150th",2
"24","16",1
"25","166",1
"26","16s",1
"27","172",1
"28","175",1
"29","18",3
"30","1800",1
"31","18000",1
"32","1800s",1
"33","1806",1
"34","1818",1
"35","182",1
"36","1830",1
"37","1849",1
"38","1863-1915",1
"39","1875",1
"40","1897",1
"41","18s",1
"42","18th",1
"43","19",1
"44","1900",1
"45","1904",1
"46","1912",1
"47","1914",1
"48","1920s",5
"49","1921",1
"50","1922",1
"51","1923",1
"52","1926",1
"53","1930s",2
"54","1936",1
"55","1937",1
"56","1941",1
"57","1942",1
"58","1944",2
"59","1949",1
"60","1950",1
"61","1950s",4
"62","1950's",1
"63","1954",7
"64","1954-australian-tour",1
"65","1955",1
"66","1960",1
"67","1960s",5
"68","1963",1
"69","1964",3
"70","1965",1
"71","1969",1
"72","1970",1
"73","1970s",2
"74","1974",1
"75","1979",1
"76","1980s",2
"77","1982",1
"78","1984",1
"79","1988",1
"80","1989",2
"81","1991",1
"82","1998",1
"83","1999",1
"84","19c",1
"85","19th",1
"86","1a",1
"87","2",17
"88","20",1
"89","2004",1
"90","2006",1
"91","2011",1
"92","2012",40
"93","2013",102
"94","2014",123
"95","2015",8
"96","2018",1
"97","2028",1
"98","20s",1
"99","20th",2
"100","2-1",1
"101","2113",1
"102","24",2
"103","24/hr",1
"104","25",4
"105","250",1
"106","25bravo",1
"107","25th",2
"108","262",1
"109","$265",1
"110","27",1
"111","2795",2
"112","28",2
"113","2800",1
"114","2870",1
"115","29",1
"116","2BL",1
"117","2H",1
"118","2km",1
"119","2sb",1
"120","3",2
"121","$3",1
"122","30",1
"123","3000km",1
"124","300-metres",1
"125","30s",1
"126","30th",1
"127","33",1
"128","34",2
"129","344",1
"130","34th",1
"131","350",1
"132","36",1
"133","360",1
"134","38",1
"135","3d",1
"136","3D",2
"137","3LO",1
"138","3RAR",1
"139","4",4
"140","40",2
"141","400",3
