"Place","State","Latitude","Longitude","TotalPopulation","MalePopulation","FemalePopulation","MedianAge","AgricultureForestryandFishing","Mining","Manufacturing","ElectricityGasWaterWasteService","Construction","Wholesale","Retail","AccomodationFoodServices","TransportWarehousing","ITMediaTelecommunications","FinancialInsurance","RentalHiringRealEstate","ProfessionalScientificTechnical","AdministrativeSupport","PublicAdministration","EducationTraining","HealthCareSocial","ArtsRecreation","Other","MainEmployingIndustry","URL","bestImage"
"Broome","WA",-17.957,122.2395,15737,7962,7775,32.2,2.7,3.1,3,1.3,9.5,1.5,9.8,9.7,7.4,1.5,0.9,2,2.9,3.2,8.8,10.3,12.6,1.3,5.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/10/28/4116261.htm","http://www.abc.net.au/reslib/201410/r1347880_18856469.jpg"
"Rockhampton","QLD",-23.3782,150.5106,112333,56561,55772,37,2.3,5.3,7.6,2.6,8.8,3.5,10.9,7.2,6.2,0.8,1.7,1.5,3.8,2.4,6.6,9,12.8,0.8,4.2,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/04/4142510.htm","http://www.abc.net.au/reslib/201412/r1364775_19208645.jpg"
"Broome","WA",-17.957,122.2395,15737,7962,7775,32.2,2.7,3.1,3,1.3,9.5,1.5,9.8,9.7,7.4,1.5,0.9,2,2.9,3.2,8.8,10.3,12.6,1.3,5.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/16/4149962.htm","http://www.abc.net.au/reslib/201402/r1234239_16302152.jpg"
"Mount Isa","QLD",-20.7287,139.4897,22079,11792,10287,30.3,1.2,31.4,4.6,1.3,5.7,2.6,8.1,5.1,3.8,0.6,0.8,1.4,2.2,2.9,6,6.9,9.3,0.3,3.6,"Mining","http://www.abc.net.au/local/photos/2014/12/22/4153153.htm","http://www.abc.net.au/reslib/201412/r1371454_19348304.jpg"
"Wollongong","NSW",-34.4263,150.8927,202068,101108,100960,38.2,0.3,2.7,9.7,1.1,7.2,2.5,9.8,7.2,4.9,1.4,3.9,1.5,5.7,3.2,7,11.1,13.4,1.4,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/11/4146911.htm","http://www.abc.net.au/reslib/201412/r1367677_21149445.jpg"
"Gosford","NSW",-33.4246,151.3441,168323,81772,86551,41.6,0.7,0.4,7.6,1.1,9.1,3.5,11.7,6.9,4,2.4,3.6,1.8,6.6,3.4,6.5,7.9,15,1.6,4,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/27/4154881.htm","http://www.abc.net.au/reslib/201412/r1372716_19377546.jpg"
"Port Lincoln","SA",-34.7282,135.8733,14462,7131,7331,38.3,8.9,1.4,7.4,1.4,9.3,4.1,13.1,6.6,5.1,0.7,2.2,1.3,3.2,3,5.2,8,12.3,0.7,4.2,"Retail Trade","http://www.abc.net.au/local/photos/2014/12/04/4142098.htm","http://www.abc.net.au/reslib/201412/r1364555_19203759.jpg"
"Mackay","QLD",-21.155,149.1664,115960,60205,55755,35.7,3.2,11.1,9.5,0.9,10.3,4.5,10.1,5.9,6.8,0.6,1.4,1.8,4.7,2.5,4,5.8,8.7,0.5,5.3,"Mining","http://www.abc.net.au/local/photos/2014/12/24/4154367.htm","http://www.abc.net.au/reslib/201412/r1372380_19369940.jpg"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/12/24/4154332.htm","http://www.abc.net.au/reslib/201412/r1372351_19369228.jpg"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/24/4154240.htm","http://www.abc.net.au/reslib/201412/r1372278_19367572.jpg"
"Port Lincoln","SA",-34.7282,135.8733,14462,7131,7331,38.3,8.9,1.4,7.4,1.4,9.3,4.1,13.1,6.6,5.1,0.7,2.2,1.3,3.2,3,5.2,8,12.3,0.7,4.2,"Retail Trade","http://www.abc.net.au/local/photos/2014/12/22/4153423.htm","http://www.abc.net.au/reslib/201412/r1371661_19352933.jpg"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/12/24/4154237.htm","http://www.abc.net.au/reslib/201412/r1372267_19367051.JPG"
"Longreach","QLD",-23.4445,144.2475,4296,2109,2187,34.2,17,0.9,2.5,0.7,8.3,2.5,10.3,6.7,4.5,1.3,2,0.9,2.2,2,8.6,9.4,11.8,1.6,4.2,"Agriculture, Forestry and Fishing","http://www.abc.net.au/local/photos/2014/12/23/4153996.htm","http://www.abc.net.au/reslib/201412/r1372113_19364413.JPG"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/12/24/4154244.htm","http://www.abc.net.au/reslib/201412/r1372271_19367186.jpg"
"Broken Hill","NSW",-31.958038,141.465138,19151,9401,9750,43.1,1.2,10.4,3.2,2.6,5.7,2.1,13.2,9.7,3.8,1,1.5,0.7,2.4,3.1,7.7,8.3,16.2,0.9,3.8,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/22/4153280.htm","http://www.abc.net.au/reslib/201412/r1371415_19347473.JPG"
"Mount Gambier","SA",-37.8252,140.7811,25773,12524,13249,37.6,4.7,0.4,14.7,0.8,7.7,3.5,14.5,8,4.5,1.1,1.9,1.2,2.7,3.2,4.5,7.6,11.8,0.9,4.4,"Manufacturing","http://www.abc.net.au/local/photos/2014/12/23/4153836.htm","http://www.abc.net.au/reslib/201412/r1371974_19360211.jpg"
"Townsville","QLD",-19.2643,146.8118,180114,90460,89654,33.2,0.5,2.9,7.6,1.6,9.9,3,10.7,6.9,5.1,1.4,1.6,1.6,4.7,3,11.9,8.1,12.5,1.3,3.7,"Health Care & Social Assistance","http://www.abc.net.au/local/photos/2014/12/23/4153716.htm","http://www.abc.net.au/reslib/201412/r1371884_19357957.jpg"
